S.N.,Country,Total Cases,New Cases,Total Deaths,Total Recovered,Active Cases,Serious Critical,Tot cases/ 1M pop,Deaths / 1M pop,TOtal Tests,Tests/ 1M pop,Population,,,,,,,,,,,,
150,Congo,"10,678",,144 ,,"8,208",,"2,326",,"1,896",26,"92,500","16,428","5,630,629 ",Africa,"52739,10261",,,413,,,,,
151,Aruba,"10,650",,99 ,,"10,402",,149,14,"99,399",924,"148,931","1,390,008","107,144 ",North America,"101,0821",,,"1,391",,,,,
152,South Sudan,"10,583",,115 ,,"10,312",,156,,936,10,"151,582","13,411","11,302,997 ",Africa,"1,06898,28775",,,14,,,,,
153,Bahamas,"10,519",,209 ,,"9,561",,749,4,"26,538",527,"87,822","221,563","396,375 ",North America,"381,8975",,,"1,890",,,,,
154,Suriname,"10,489",,207 ,,"9,414",,868,26,"17,747",350,"51,213","86,653","591,013 ",South America,"562,85512",,,"1,469",,,,,
155,Benin,"7,821",,99 ,,"7,580",,142,35,631,8,"590,214","47,651","12,386,150 ",Africa,"1,584125,11321",,,11,,,,,
156,Equatorial Guinea,"7,694",,112 ,,"7,279",,303,7,"5,339",78,"123,169","85,471","1,441,054 ",Africa,"18712,86712",,,210,,,,,
157,Nicaragua,"6,898",,182 ,,"4,225",,"2,491",,"1,031",27,,,"6,690,175 ",North America,"97036,759",,,372,,,,,
158,Iceland,"6,472",,29 ,,"6,253",,190,4,"18,864",85,"600,005","1,748,827","343,090 ",Europe,"5311,8311",,,554,,,,,
159,CAR,"6,411",,88 ,,"5,112",,"1,211",2,"1,308",18,"40,907","8,349","4,899,541 ",Africa,"76455,677120",,,247,,,,,
160,Yemen,"6,341",,"1,233 ",,"2,875",,"2,233",23,209,41,"25,932",854,"30,370,813 ",Asia,"4,79024,6321,171",,,74,,,,,
161,Gambia,"5,901",,175 ,,"5,419",,307,3,"2,386",71,"73,324","29,652","2,472,848 ",Africa,"41914,13134",,,124,,,,,
162,Seychelles,"5,873",,28 ,,"5,101",,744,,"59,410",283,"21,504","217,531","98,855 ",Africa,"173,5315",,,"7,526",,,,,
163,Niger,"5,251",,191 ,,"4,857",,203,18,211,8,"99,421","3,988","24,929,381 ",Africa,"4,748130,520251",,,8,,,,,
164,San Marino,"5,066",,90 ,,"4,917",,59,4,"149,039","2,648","61,499","1,809,273","33,991 ",Europe,73781,,,"1,736",,,,,
165,Chad,"4,828",,170 ,,"4,430",,228,,287,10,"114,046","6,782","16,815,789 ",Africa,"3,48398,916147",,,14,,,,,
166,Saint Lucia,"4,560",,74 ,,"4,368",,118,2,"24,739",401,"40,466","219,534","184,327 ",North America,"402,4915",,,640,,,,,
167,Gibraltar,"4,283",,94 ,,"4,186",,3,1,"127,156","2,791","234,943","6,975,121","33,683 ",Europe,83580,,,89,,,,,
168,Sierra Leone,"4,062",,79 ,,"3,078",,905,,501,10,"152,747","18,831","8,111,620 ",Africa,"1,997102,67953",,,112,,,,,
169,Channel Islands,"4,055",,86 ,,"3,956",,13,1,"23,145",491,"454,413","2,593,711","175,198 ",Europe,"432,0370",,,74,,,,,
170,Burundi,"4,038",,6 ,,773,,"3,259",,331,0.5,"90,019","7,389","12,183,630 ",Africa,"3,0172,030,605135",,,267,,,,,
